artwork_id,object_id,title,artist,type,image_url,thumbnail_url
7521875039,379349,Stinky and Baby Tommy IV,"Greenfield-Sanders, Isca b. 1978",Painting,https://api.collectorsystems.com/11184/objects/379349/mainimage,https://api.collectorsystems.com/11184/objects/379349/mainimage?size=detail
6169923712,379350,Envelope,"Muniz, Vik b. 1961",Photographs,https://api.collectorsystems.com/11184/objects/379350/mainimage,https://api.collectorsystems.com/11184/objects/379350/mainimage?size=detail
0582542453,379352,Lime Sorbet / Schoolgirls,"Wong, Su-en b. 1973",Work on paper,https://api.collectorsystems.com/11184/objects/379352/mainimage,https://api.collectorsystems.com/11184/objects/379352/mainimage?size=detail
9667258968,379353,Untitled (Samsonite),"Wada, Doug b. 1964",Painting,https://api.collectorsystems.com/11184/objects/379353/mainimage,https://api.collectorsystems.com/11184/objects/379353/mainimage?size=detail
4335061611,379354,Caritas,"Jaar, Alfredo b. 1956",Installation,https://api.collectorsystems.com/11184/objects/379354/mainimage,https://api.collectorsystems.com/11184/objects/379354/mainimage?size=detail
8815402847,379355,Broilmaster,"Sachs, Tom b. 1966",Video  installation,https://api.collectorsystems.com/11184/objects/379355/mainimage,https://api.collectorsystems.com/11184/objects/379355/mainimage?size=detail
0085223123,379356,Pongo Joe,"O'Neill, Michael",Photographs,https://api.collectorsystems.com/11184/objects/379356/mainimage,https://api.collectorsystems.com/11184/objects/379356/mainimage?size=detail
6308057549,379357,Domestic Sculpture,"von Hausswolff, Annika b. 1967",Photographs,https://api.collectorsystems.com/11184/objects/379357/mainimage,https://api.collectorsystems.com/11184/objects/379357/mainimage?size=detail
4366425068,379358,Dutra,"Reisewirth, Caio b. 1967",Photographs,https://api.collectorsystems.com/11184/objects/379358/mainimage,https://api.collectorsystems.com/11184/objects/379358/mainimage?size=detail
7758037603,379359,Carandiru,"Reisewirth, Caio b. 1967",Photographs,https://api.collectorsystems.com/11184/objects/379359/mainimage,https://api.collectorsystems.com/11184/objects/379359/mainimage?size=detail
0894265818,379360,"Brennende Kerze, Tuch (Burning Candle, Cloth)","Schmersal, Peter b. 1952",Painting,https://api.collectorsystems.com/11184/objects/379360/mainimage,https://api.collectorsystems.com/11184/objects/379360/mainimage?size=detail
