width_inches,height_inches,inventory_number,object_id,object_type,title,unique_id,artist,img_link,color_tags
10.0,13.0,1428,379297,Work on paper,Untitled,3057352983,"Samaras, Lucas b. 1936",https://api.collectorsystems.com/11184/objects/379297/mainimage,"{'0': '#ac663c', '1': '#725048', '2': '#adac90'}"
10.0,13.0,1429,379298,Work on paper,Untitled,6307580675,"Samaras, Lucas b. 1936",https://api.collectorsystems.com/11184/objects/379298/mainimage,"{'0': '#322d2b', '1': '#656569', '2': '#a4afa1'}"
11.0,13.0,1431,379300,Work on paper,A Baroque Sculpture,1588403881,"Scanga, Italo b. 1932",https://api.collectorsystems.com/11184/objects/379300/mainimage,"{'0': '#474f4c', '1': '#c0ab77', '2': '#e9ebed'}"
22.25,30.0,1490,379302,Work on paper,One,5501104286,"Trockel, Rosemarie & Casten Holler b. 1952 / b.1961",https://api.collectorsystems.com/11184/objects/379302/mainimage,"{'0': '#7f7c7a', '1': '#f6f5f2', '2': '#211e1c'}"
57.0,86.5,1491.1,379303,Photographs,"Antonio Rafael Balzano, Tone E. ch. Johansen",5628178980,"Tronvoll, Mette b.1965",https://api.collectorsystems.com/11184/objects/379303/mainimage,"{'0': '#5e5255', '1': '#dab197', '2': '#251c17'}"
25.5,39.5,1493,379305,Work on paper,Untitled #17,1259155386,"Tyson, Nicola b. 1960",https://api.collectorsystems.com/11184/objects/379305/mainimage,"{'0': '#646765', '1': '#1c1e1c', '2': '#f9fbfd'}"
84.0,72.0,1494,379306,Painting,Untitled #3,2296752452,"Tyson, Nicola b. 1960",https://api.collectorsystems.com/11184/objects/379306/mainimage,"{'0': '#a62d2e', '1': '#dedacb', '2': '#986e3a'}"
12.0,17.9375,1497,379309,Painting,Timpano,7096026374,"Usle, Juan b. 1954",https://api.collectorsystems.com/11184/objects/379309/mainimage,"{'0': '#c9d1d5', '1': '#323735', '2': '#6f7a7b'}"
55.125,72.875,1499.6,379311,Photographs,Joanna,3993987796,"Van Lamsweerde, Inez b.1963",https://api.collectorsystems.com/11184/objects/379311/mainimage,"{'0': '#aa9191', '1': '#6e423b', '2': '#ccc9dc'}"
126.0,78.75,1500,379312,Painting,Alegorias,6883737623,"Villalobos, Jose b. 1950",https://api.collectorsystems.com/11184/objects/379312/mainimage,"{'0': '#cc9056', '1': '#9b6023', '2': '#502f14'}"
60.0,50.0,1535.7,379315,Photographs,Untitled (Rug Lady Formation),0000443113,"Crewdson, Gregory b. 1962",https://api.collectorsystems.com/11184/objects/379315/mainimage,"{'0': '#85878b', '1': '#231f22', '2': '#4b4b52'}"
5.5,13.5,1536,379316,Installation,Peter Norton Family Christmas Project 1994,0658710984,"Simpson, Lorna",https://api.collectorsystems.com/11184/objects/379316/mainimage,"{'0': '#fefefe', '1': '#b17f53', '2': '#ede6d8'}"
18.0,16.0,1537,379317,Work on paper,Shonen Knife,2793331073,"Nara, Yoshimoto b. 1959",https://api.collectorsystems.com/11184/objects/379317/mainimage,"{'0': '#594132', '1': '#a5a89b', '2': '#e3be82'}"
8.25,10.625,1574,379318,Work on paper,Untitled (#638),6439099952,"Tuymans, Luc b. 1958",https://api.collectorsystems.com/11184/objects/379318/mainimage,"{'0': '#b19467', '1': '#d2caa2', '2': '#ba9d70'}"
7.875,5.8125,1575,379319,Work on paper,Untitled (#640),8782736851,"Tuymans, Luc b. 1958",https://api.collectorsystems.com/11184/objects/379319/mainimage,"{'0': '#a29067', '1': '#96845d', '2': '#bbb99e'}"
8.25,10.625,1576,379320,Work on paper,Untitled (#642),5518687159,"Tuymans, Luc b. 1958",https://api.collectorsystems.com/11184/objects/379320/mainimage,"{'0': '#bb9f70', '1': '#b49765', '2': '#cac69f'}"
6.25,8.75,1577,379321,Work on paper,Untitled (#646),6087142846,"Tuymans, Luc b. 1958",https://api.collectorsystems.com/11184/objects/379321/mainimage,"{'0': '#a99972', '1': '#bcb7a6', '2': '#98865e'}"
5.3125,5.3125,1578,379322,Work on paper,Untitled (#647),6198481215,"Tuymans, Luc b. 1958",https://api.collectorsystems.com/11184/objects/379322/mainimage,"{'0': '#aca580', '1': '#9b8960', '2': '#cac8bc'}"
23.1875,17.0,1579.5,379323,Photographs,Desk #3,3288310413,"Raff, Orit b. 1970",https://api.collectorsystems.com/11184/objects/379323/mainimage,"{'0': '#755123', '1': '#382410', '2': '#624117'}"
23.1875,17.0,1580.6,379324,Photographs,Desk #5,4255990967,"Raff, Orit b. 1970",https://api.collectorsystems.com/11184/objects/379324/mainimage,"{'0': '#664220', '1': '#78532e', '2': '#4d2f15'}"
23.1875,17.0,1581.2,379325,Photographs,Desk #7,4093217914,"Raff, Orit b. 1970",https://api.collectorsystems.com/11184/objects/379325/mainimage,"{'0': '#40260e', '1': '#643e10', '2': '#754f20'}"
23.1875,17.0,1582.4,379326,Photographs,Desk #8,2379724066,"Raff, Orit b. 1970",https://api.collectorsystems.com/11184/objects/379326/mainimage,"{'0': '#352012', '1': '#7f5a31', '2': '#694221'}"
124.625,98.25,1585,379329,Painting,Os pares,3146697252,"Milhazes, Beatriz b. 1960",https://api.collectorsystems.com/11184/objects/379329/mainimage,"{'0': '#9fb3c9', '1': '#9f7d4b', '2': '#3a3f4c'}"
85.0,80.0,1586,379330,Installation,Untitled,0005777073,"Friedman, Tom b. 1965",https://api.collectorsystems.com/11184/objects/379330/mainimage,"{'0': '#a2b0bb', '1': '#556672', '2': '#d7ddea'}"
51.625,54.0,1664.1,379331,Work on paper,#6 Then Water Came and Quenched the Fire,1582552256,"Stella, Frank b. 1936",https://api.collectorsystems.com/11184/objects/379331/mainimage,"{'0': '#c4a983', '1': '#423028', '2': '#735b58'}"
37.8125,51.1875,1665,379332,Painting,Etudes pour Les Constructeurs,2129666262,"L�ger, Fernand 1881-1955",https://api.collectorsystems.com/11184/objects/379332/mainimage,"{'0': '#cdcfb6', '1': '#161009', '2': '#958868'}"
49.5,68.5,1667,379333,Installation,Fold Quadrant #4,3517698769,"Besemer, Linda b. 1957",https://api.collectorsystems.com/11184/objects/379333/mainimage,"{'0': '#5a474f', '1': '#f0eeed', '2': '#a5a2a3'}"
78.75,78.75,1670,379336,Installation,Carpet,9173289144,"Jozefowicz, Katarzyna b. 1959",https://api.collectorsystems.com/11184/objects/379336/mainimage,"{'0': '#634f39', '1': '#99856f', '2': '#e9e0d1'}"
16.0,16.0,1671,379337,Painting,Untitled (styrofoam container),8307795527,"Sasnal, Wilhelm b. 1972",https://api.collectorsystems.com/11184/objects/379337/mainimage,"{'0': '#5e4c35', '1': '#b3b48b', '2': '#d4d4d5'}"
70.875,47.25,1672.1,379338,Photographs,Sala de Espera (Terrace),8104177757,"Tschape, Janaina b. 1973",https://api.collectorsystems.com/11184/objects/379338/mainimage,"{'0': '#343438', '1': '#787e7b', '2': '#9ca69f'}"
70.875,94.5,1674,379340,Photographs,Sin Titulo,9830549436,"Gomez, Susy b. 1964",https://api.collectorsystems.com/11184/objects/379340/mainimage,"{'0': '#785e54', '1': '#a59ba1', '2': '#e7d7db'}"
14.0,14.0,1751,379342,Painting,Beach House,2287881520,"Gallace, Maureen",https://api.collectorsystems.com/11184/objects/379342/mainimage,"{'0': '#76777f', '1': '#a8adcc', '2': '#d4ccd0'}"
7.0,6.0,1752,379343,Installation,Peter Norton Family Christmas Project 2001,4608366326,"Gaskell, Anna b. 1969",https://api.collectorsystems.com/11184/objects/379343/mainimage,"{'0': '#9aa2aa', '1': '#f7f7f7', '2': '#6f713b'}"
84.0,72.0,1754,379345,Painting,Burn Baby Burn,3310776913,"Bradford, Mark b. 1961",https://api.collectorsystems.com/11184/objects/379345/mainimage,"{'0': '#c6c4b5', '1': '#b1aa94', '2': '#b45a2a'}"
19.5,24.0,1755,379346,Photographs,Untitled (Shirt #31 brown),5713067345,"von Hausswolff, Annika b. 1967",https://api.collectorsystems.com/11184/objects/379346/mainimage,"{'0': '#362a15', '1': '#c0bdb4', '2': '#99866a'}"
90.0,72.0,1756,379347,Painting,Untitled (Acknowledgement Painting),2077904903,"Gillmore, Graham b. 1963",https://api.collectorsystems.com/11184/objects/379347/mainimage,"{'0': '#b2baca', '1': '#646970', '2': '#353636'}"
64.0,40.0,1757,379348,Painting,"Blue, Green, Green, Yellow",0236359664,"Litzmann, Tim b. 1963",https://api.collectorsystems.com/11184/objects/379348/mainimage,"{'0': '#769ba1', '1': '#7ca6af', '2': '#b4c09c'}"
77.0,63.0,1758,379349,Painting,Stinky and Baby Tommy IV,7521875039,"Greenfield-Sanders, Isca b. 1978",https://api.collectorsystems.com/11184/objects/379349/mainimage,"{'0': '#66706c', '1': '#523f22', '2': '#959594'}"
50.0,40.0,1759.2,379350,Photographs,Envelope,6169923712,"Muniz, Vik b. 1961",https://api.collectorsystems.com/11184/objects/379350/mainimage,"{'0': '#292a28', '1': '#ccc3b2', '2': '#767167'}"
118.0,82.0,1761,379352,Work on paper,Lime Sorbet / Schoolgirls,0582542453,"Wong, Su-en b. 1973",https://api.collectorsystems.com/11184/objects/379352/mainimage,"{'0': '#536557', '1': '#bbd2b9', '2': '#e2f2e9'}"
28.0,65.0,1762,379353,Painting,Untitled (Samsonite),9667258968,"Wada, Doug b. 1964",https://api.collectorsystems.com/11184/objects/379353/mainimage,"{'0': '#cdaf99', '1': '#ba6e45', '2': '#c4470b'}"
31.0,16.0,1822,379354,Installation,Caritas,4335061611,"Jaar, Alfredo b. 1956",https://api.collectorsystems.com/11184/objects/379354/mainimage,"{'0': '#c2bdb7', '1': '#0b0a08', '2': '#807a75'}"
63.0,19.0,1823,379355,Video  installation,Broilmaster,8815402847,"Sachs, Tom b. 1966",https://api.collectorsystems.com/11184/objects/379355/mainimage,"{'0': '#757471', '1': '#c4c4c3', '2': '#191818'}"
